=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.09.24 20:55:52 =~=~=~=~=~=~=~=~=~=~=~=
Beat 77 -> Dataset Index: 13839
Beat 78 -> Dataset Index: 30049
Beat 79 -> Dataset Index: 41244
Beat 80 -> Dataset Index: 24944
Beat 81 -> Dataset Index: 13361
Beat 82 -> Dataset Index: 12258
Beat 83 -> Dataset Index: 21927
Beat 84 -> Dataset Index: 44383
Beat 85 -> Dataset Index: 11753
Beat 86 -> Dataset Index: 26220
Beat 87 -> Dataset Index: 36186
Beat 88 -> Dataset Index: 32938
Beat 89 -> Dataset Index: 16953
Beat 90 -> Dataset Index: 8563
Beat 91 -> Dataset Index: 38408
Beat 92 -> Dataset Index: 48992
Beat 93 -> Dataset Index: 8859
Beat 94 -> Dataset Index: 11701
Beat 95 -> Dataset Index: 22075
Beat 96 -> Dataset Index: 40785
Beat 97 -> Dataset Index: 17812
Beat 98 -> Dataset Index: 34684
Beat 99 -> Dataset Index: 21509
Beat 100 -> Dataset Index: 31096
Beat 101 -> Dataset Index: 21462
Beat 102 -> Dataset Index: 17349
Beat 103 -> Dataset Index: 35338
Beat 104 -> Dataset Index: 17550
Beat 105 -> Dataset Index: 8240
Beat 106 -> Dataset Index: 1858
Beat 107 -> Dataset Index: 10011
Beat 108 -> Dataset Index: 12764
Beat 109 -> Dataset Index: 3282
Beat 110 -> Dataset Index: 47805
Beat 111 -> Dataset Index: 4303
Beat 112 -> Dataset Index: 5098
Beat 113 -> Dataset Index: 11110
Beat 114 -> Dataset Index: 25762
Beat 115 -> Dataset Index: 2404
Beat 116 -> Dataset Index: 8336
Beat 117 -> Dataset Index: 29776
Beat 118 -> Dataset Index: 50578
Beat 119 -> Dataset Index: 28935
Beat 120 -> Dataset Index: 20703
Beat 121 -> Dataset Index: 39615
Beat 122 -> Dataset Index: 30615
Beat 123 -> Dataset Index: 35497
Beat 124 -> Dataset Index: 46260
Beat 125 -> Dataset Index: 15694
Beat 126 -> Dataset Index: 34709
Beat 127 -> Dataset Index: 18783
Beat 128 -> Dataset Index: 30420
Beat 129 -> Dataset Index: 33780
Beat 130 -> Dataset Index: 22082
Beat 131 -> Dataset Index: 36596
Beat 132 -> Dataset Index: 5334
Beat 133 -> Dataset Index: 49163
Beat 134 -> Dataset Index: 38113
Beat 135 -> Dataset Index: 43390
Beat 136 -> Dataset Index: 40143
Beat 137 -> Dataset Index: 10926
Beat 138 -> Dataset Index: 15237
Beat 139 -> Dataset Index: 13601
Beat 140 -> Dataset Index: 715
Beat 141 -> Dataset Index: 25939
Beat 142 -> Dataset Index: 44693
Beat 143 -> Dataset Index: 45788
Beat 144 -> Dataset Index: 48706
Beat 145 -> Dataset Index: 35721
Beat 146 -> Dataset Index: 35129
Beat 147 -> Dataset Index: 23905
Beat 148 -> Dataset Index: 15819
Beat 149 -> Dataset Index: 8610
Beat 150 -> Dataset Index: 2975
Beat 151 -> Dataset Index: 25243
Beat 152 -> Dataset Index: 41113
Beat 153 -> Dataset Index: 43752
Beat 154 -> Dataset Index: 41100
Beat 155 -> Dataset Index: 9449
Beat 156 -> Dataset Index: 41706
Beat 157 -> Dataset Index: 20977
Beat 158 -> Dataset Index: 21496
Beat 159 -> Dataset Index: 4043
Beat 160 -> Dataset Index: 8600
Beat 161 -> Dataset Index: 51074
Beat 162 -> Dataset Index: 42518
Beat 163 -> Dataset Index: 8976
Beat 164 -> Dataset Index: 42537
Beat 165 -> Dataset Index: 26355
Beat 166 -> Dataset Index: 2843
Beat 167 -> Dataset Index: 10019
Beat 168 -> Dataset Index: 38065
Beat 169 -> Dataset Index: 5380
Beat 170 -> Dataset Index: 44059
Beat 171 -> Dataset Index: 8776
Beat 172 -> Dataset Index: 16579
Beat 173 -> Dataset Index: 5671
Beat 174 -> Dataset Index: 30658
Beat 175 -> Dataset Index: 24348
Beat 176 -> Dataset Index: 19758
Beat 177 -> Dataset Index: 25479
Beat 178 -> Dataset Index: 49142
Beat 179 -> Dataset Index: 13067
Beat 180 -> Dataset Index: 47904
Beat 181 -> Dataset Index: 11228
Beat 182 -> Dataset Index: 4623
Beat 183 -> Dataset Index: 6608
Beat 184 -> Dataset Index: 24874
Beat 185 -> Dataset Index: 36230
Beat 186 -> Dataset Index: 9840
Beat 187 -> Dataset Index: 27859
Beat 188 -> Dataset Index: 8676
Beat 189 -> Dataset Index: 29774
Beat 190 -> Dataset Index: 17859
Beat 191 -> Dataset Index: 32501
Beat 192 -> Dataset Index: 25045
Beat 193 -> Dataset Index: 45107
Beat 194 -> Dataset Index: 43227
Beat 195 -> Dataset Index: 29738
Beat 196 -> Dataset Index: 44852
Beat 197 -> Dataset Index: 3999
Beat 198 -> Dataset Index: 50506
Beat 199 -> Dataset Index: 12722
Beat 200 -> Dataset Index: 4522

Starting inference iteration 1
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 1 / 200 ---
DS2 Dataset Index: 50381
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.14 us
Die Temp (C): 41.59 C

Starting inference iteration 2
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 2 / 200 ---
DS2 Dataset Index: 5358
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 41.94 C

Starting inference iteration 3
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 3 / 200 ---
DS2 Dataset Index: 39729
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.44 us
Die Temp (C): 41.92 C

Starting inference iteration 4
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 4 / 200 ---
DS2 Dataset Index: 1762
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 41.71 C

Starting inference iteration 5
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 5 / 200 ---
DS2 Dataset Index: 20728
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 41.78 C

Starting inference iteration 6
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 6 / 200 ---
DS2 Dataset Index: 48146
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.18 C

Starting inference iteration 7
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 7 / 200 ---
DS2 Dataset Index: 32660
Ground Truth: ANOMALY
Hardware Pred: ANOMALY
H/W Latency : 4511.48 us
Die Temp (C): 41.97 C

Starting inference iteration 8
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 8 / 200 ---
DS2 Dataset Index: 11855
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.42 us
Die Temp (C): 42.20 C

Starting inference iteration 9
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 9 / 200 ---
DS2 Dataset Index: 2900
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 41.80 C

Starting inference iteration 10
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 10 / 200 ---
DS2 Dataset Index: 2059
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.22 C

Starting inference iteration 11
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 11 / 200 ---
DS2 Dataset Index: 27372
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.08 C

Starting inference iteration 12
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 12 / 200 ---
DS2 Dataset Index: 39281
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 41.90 C

Starting inference iteration 13
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 13 / 200 ---
DS2 Dataset Index: 31478
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.47 us
Die Temp (C): 42.02 C

Starting inference iteration 14
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 14 / 200 ---
DS2 Dataset Index: 19165
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.36 C

Starting inference iteration 15
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 15 / 200 ---
DS2 Dataset Index: 49341
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.36 C

Starting inference iteration 16
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 16 / 200 ---
DS2 Dataset Index: 46399
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 42.40 C

Starting inference iteration 17
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 17 / 200 ---
DS2 Dataset Index: 8475
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.31 C

Starting inference iteration 18
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 18 / 200 ---
DS2 Dataset Index: 30688
Ground Truth: NORMAL
Hardware Pred: ANOMALY
H/W Latency : 4511.54 us
Die Temp (C): 42.52 C

Starting inference iteration 19
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 19 / 200 ---
DS2 Dataset Index: 26872
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 42.45 C

Starting inference iteration 20
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 20 / 200 ---
DS2 Dataset Index: 6269
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 42.38 C

Starting inference iteration 21
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 21 / 200 ---
DS2 Dataset Index: 23420
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 42.51 C

Starting inference iteration 22
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 22 / 200 ---
DS2 Dataset Index: 43805
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.36 us
Die Temp (C): 42.81 C

Starting inference iteration 23
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 23 / 200 ---
DS2 Dataset Index: 47370
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.42 C

Starting inference iteration 24
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 24 / 200 ---
DS2 Dataset Index: 21932
Ground Truth: ANOMALY
Hardware Pred: ANOMALY
H/W Latency : 4511.46 us
Die Temp (C): 42.50 C

Starting inference iteration 25
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 25 / 200 ---
DS2 Dataset Index: 35402
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.45 C

Starting inference iteration 26
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 26 / 200 ---
DS2 Dataset Index: 22423
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 42.92 C

Starting inference iteration 27
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 27 / 200 ---
DS2 Dataset Index: 25237
Ground Truth: NORMAL
Hardware Pred: ANOMALY
H/W Latency : 4511.48 us
Die Temp (C): 42.86 C

Starting inference iteration 28
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 28 / 200 ---
DS2 Dataset Index: 11271
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.15 C

Starting inference iteration 29
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 29 / 200 ---
DS2 Dataset Index: 4131
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 42.98 C

Starting inference iteration 30
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 30 / 200 ---
DS2 Dataset Index: 12090
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 43.22 C

Starting inference iteration 31
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 31 / 200 ---
DS2 Dataset Index: 39745
Ground Truth: ANOMALY
Hardware Pred: ANOMALY
H/W Latency : 4511.35 us
Die Temp (C): 43.10 C

Starting inference iteration 32
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 32 / 200 ---
DS2 Dataset Index: 39684
Ground Truth: ANOMALY
Hardware Pred: ANOMALY
H/W Latency : 4511.46 us
Die Temp (C): 42.92 C

Starting inference iteration 33
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 33 / 200 ---
DS2 Dataset Index: 37803
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.44 us
Die Temp (C): 42.76 C

Starting inference iteration 34
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 34 / 200 ---
DS2 Dataset Index: 48835
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.04 C

Starting inference iteration 35
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 35 / 200 ---
DS2 Dataset Index: 14334
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 43.25 C

Starting inference iteration 36
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 36 / 200 ---
DS2 Dataset Index: 13315
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.48 C

Starting inference iteration 37
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 37 / 200 ---
DS2 Dataset Index: 18720
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.34 us
Die Temp (C): 43.28 C

Starting inference iteration 38
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 38 / 200 ---
DS2 Dataset Index: 44922
Ground Truth: ANOMALY
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.28 C

Starting inference iteration 39
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 39 / 200 ---
DS2 Dataset Index: 38717
Ground Truth: ANOMALY
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.19 C

Starting inference iteration 40
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 40 / 200 ---
DS2 Dataset Index: 12341
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.44 us
Die Temp (C): 43.38 C

Starting inference iteration 41
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 41 / 200 ---
DS2 Dataset Index: 34195
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.42 us
Die Temp (C): 43.50 C

Starting inference iteration 42
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 42 / 200 ---
DS2 Dataset Index: 12628
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.05 C

Starting inference iteration 43
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 43 / 200 ---
DS2 Dataset Index: 7607
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.12 C

Starting inference iteration 44
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 44 / 200 ---
DS2 Dataset Index: 28041
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.34 C

Starting inference iteration 45
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 45 / 200 ---
DS2 Dataset Index: 1718
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 42.94 C

Starting inference iteration 46
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 46 / 200 ---
DS2 Dataset Index: 7537
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 43.38 C

Starting inference iteration 47
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 47 / 200 ---
DS2 Dataset Index: 37130
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.36 us
Die Temp (C): 43.48 C

Starting inference iteration 48
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 48 / 200 ---
DS2 Dataset Index: 43137
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 43.41 C

Starting inference iteration 49
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 49 / 200 ---
DS2 Dataset Index: 37760
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.44 us
Die Temp (C): 43.33 C

Starting inference iteration 50
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 50 / 200 ---
DS2 Dataset Index: 19695
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.18 C

Starting inference iteration 51
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 51 / 200 ---
DS2 Dataset Index: 13462
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.30 C

Starting inference iteration 52
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 52 / 200 ---
DS2 Dataset Index: 25567
Ground Truth: NORMAL
Hardware Pred: ANOMALY
H/W Latency : 4511.48 us
Die Temp (C): 43.15 C

Starting inference iteration 53
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 53 / 200 ---
DS2 Dataset Index: 27614
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.45 us
Die Temp (C): 43.22 C

Starting inference iteration 54
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 54 / 200 ---
DS2 Dataset Index: 25716
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.47 us
Die Temp (C): 43.36 C

Starting inference iteration 55
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 55 / 200 ---
DS2 Dataset Index: 34931
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 43.43 C

Starting inference iteration 56
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 56 / 200 ---
DS2 Dataset Index: 29449
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.44 us
Die Temp (C): 43.48 C

Starting inference iteration 57
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 57 / 200 ---
DS2 Dataset Index: 25941
Ground Truth: NORMAL
Hardware Pred: ANOMALY
H/W Latency : 4511.36 us
Die Temp (C): 43.23 C

Starting inference iteration 58
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 58 / 200 ---
DS2 Dataset Index: 47494
Ground Truth: NORMAL
Hardware Pred: ANOMALY
H/W Latency : 4511.46 us
Die Temp (C): 43.36 C

Starting inference iteration 59
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 59 / 200 ---
DS2 Dataset Index: 13523
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 43.61 C

Starting inference iteration 60
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 60 / 200 ---
DS2 Dataset Index: 3853
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 43.55 C

Starting inference iteration 61
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 61 / 200 ---
DS2 Dataset Index: 20165
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.48 us
Die Temp (C): 43.68 C

Starting inference iteration 62
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 62 / 200 ---
DS2 Dataset Index: 41440
Ground Truth: NORMAL
Hardware Pred: NORMAL
H/W Latency : 4511.46 us
Die Temp (C): 43.62 C

Starting inference iteration 63
Loading DS2 beat...
Input loaded.
Setting accelerator input...
Starting accelerator...
Waiting for accelerator...
Accelerator completed.

--- ITERATION 63 / 200 ---
DS2 Dataset Index: 35980
